Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0603_1608Metric",177.420000,-124.340000,135.000000,bottom
"C2","2.2uF","C_0603_1608Metric",145.500000,-118.570000,-90.000000,bottom
"C3","100nF","C_0603_1608Metric",180.750000,-119.450000,0.000000,bottom
"C4","1uF","C_0603_1608Metric",180.750000,-121.100000,0.000000,bottom
"C5","100nF","C_0603_1608Metric",192.300000,-104.800000,0.000000,bottom
"C6","1uF","C_0603_1608Metric",197.400000,-103.000000,180.000000,bottom
"C7","2.2uF","C_0603_1608Metric",197.300000,-121.700000,0.000000,bottom
"C8","2.2uF","C_0603_1608Metric",196.600000,-106.900000,180.000000,bottom
"C9","2.2uF","C_0603_1608Metric",197.300000,-120.100000,0.000000,bottom
"C10","100nF","C_0603_1608Metric",147.100000,-118.600000,-90.000000,bottom
"C11","100nF","C_0603_1608Metric",194.700000,-123.300000,180.000000,bottom
"C12","100nF","C_0603_1608Metric",196.600000,-105.300000,180.000000,bottom
"C13","100nF","C_0603_1608Metric",194.700000,-124.900000,180.000000,bottom
"C14","2.2uF","C_0603_1608Metric",145.960000,-134.740000,180.000000,bottom
"C15","100nF","C_0603_1608Metric",186.750000,-121.050000,180.000000,bottom
"C16","100nF","C_0603_1608Metric",180.020203,-113.086679,-90.000000,bottom
"C17","100nF","C_0603_1608Metric",197.800000,-124.900000,180.000000,bottom
"C18","100nF","C_0603_1608Metric",176.000000,-120.600000,-90.000000,bottom
"C20","100nF","C_0603_1608Metric",197.400000,-117.000000,-90.000000,bottom
"C22","100nF","C_0603_1608Metric",196.350000,-111.400000,-90.000000,bottom
"C24","100nF","C_0603_1608Metric",180.750000,-117.800000,0.000000,bottom
"C25","100nF","C_0603_1608Metric",191.750000,-121.000000,180.000000,bottom
"C29","100nF","C_0603_1608Metric",208.225000,-105.138000,0.000000,bottom
"C32","1uF","C_0603_1608Metric",208.225000,-103.438000,0.000000,bottom
"C35","100nF","C_0603_1608Metric",207.050000,-97.800000,180.000000,bottom
"C36","1uF","C_0603_1608Metric",207.050000,-96.225000,180.000000,bottom
"C41","22uF 35V","C_1206_3216Metric",95.342983,-84.042983,135.000000,bottom
"C43","100nF","C_0603_1608Metric",162.466762,-116.136679,180.000000,bottom
"C45","100nF","C_0603_1608Metric",109.300000,-107.705000,180.000000,bottom
"C47","100nF","C_0603_1608Metric",164.966762,-108.736679,180.000000,bottom
"C48","100nF","C_0603_1608Metric",161.466762,-108.736679,0.000000,bottom
"C49","100nF","C_0603_1608Metric",126.600000,-87.300000,180.000000,bottom
"C51","100nF","C_0603_1608Metric",122.700000,-109.600000,180.000000,bottom
"C52","100nF","C_0603_1608Metric",119.500000,-109.600000,0.000000,bottom
"C53","100uF 10V","C_1210_3225Metric",109.900000,-95.000000,-90.000000,bottom
"C54","100uF 10V","C_1210_3225Metric",113.400000,-95.000000,-90.000000,bottom
"C55","100uF 10V","C_1210_3225Metric",117.000000,-95.025000,-90.000000,bottom
"C56","10uF 50V","C_1206_3216Metric",94.250000,-49.600000,-135.000000,bottom
"C58","100nF","C_0603_1608Metric",200.100000,-94.000000,90.000000,bottom
"C60","22uF 35V","C_1206_3216Metric",99.200000,-81.100000,90.000000,bottom
"C61","22uF 35V","C_1206_3216Metric",102.600000,-81.100000,90.000000,bottom
"C62","100nF","C_0603_1608Metric",198.625000,-96.500000,0.000000,bottom
